Date,Open,High,Low,Close,Volume,Adj Close
02/09/2015,6058.5,6161.700195,6021.399902,6083.299805,769181300,6083.299805
01/09/2015,6247.899902,6247.899902,6028.700195,6058.5,1001128800,6058.5
28/08/2015,6192,6247.899902,6152,6247.899902,868831700,6247.899902
27/08/2015,5979.200195,6212.5,5979.200195,6192,1028065800,6192
26/08/2015,6081.299805,6095.100098,5949.899902,5979.200195,991933700,5979.200195
25/08/2015,5898.899902,6115.700195,5898.899902,6081.299805,1335924300,6081.299805
24/08/2015,6187.700195,6187.700195,5768.200195,5898.899902,1657266300,5898.899902
21/08/2015,6367.899902,6367.899902,6187.700195,6187.700195,807243600,6187.700195
20/08/2015,6403.5,6408.600098,6359.700195,6367.899902,728564100,6367.899902
19/08/2015,6526.299805,6526.5,6403.5,6403.5,699446800,6403.5
18/08/2015,6550.299805,6564.600098,6505.700195,6526.299805,538348700,6526.299805
17/08/2015,6550.700195,6585.899902,6507.799805,6550.299805,471278500,6550.299805
14/08/2015,6568.299805,6603.200195,6544.399902,6550.700195,577612000,6550.700195
13/08/2015,6571.200195,6634.700195,6553.5,6568.299805,668900300,6568.299805
12/08/2015,6664.5,6664.5,6536.399902,6571.200195,1085554700,6571.200195
11/08/2015,6736.200195,6736.200195,6664,6664.5,727572100,6664.5
10/08/2015,6718.5,6751.5,6653.700195,6736.200195,765478700,6736.200195
07/08/2015,6747.100098,6754.799805,6718.5,6718.5,595585900,6718.5
06/08/2015,6752.399902,6763.299805,6717.5,6747.100098,691613500,6747.100098
05/08/2015,6686.600098,6764.799805,6686.600098,6752.399902,847270800,6752.399902
04/08/2015,6688.600098,6715.5,6644.700195,6686.600098,1399430100,6686.600098
03/08/2015,6696.299805,6710.799805,6668.200195,6688.600098,679885300,6688.600098
31/07/2015,6668.899902,6705.399902,6646.299805,6696.299805,958422600,6696.299805
30/07/2015,6631,6697.399902,6631,6668.899902,778087100,6668.899902
29/07/2015,6555.299805,6634,6555.299805,6631,820041700,6631
28/07/2015,6505.100098,6569.5,6505.100098,6555.299805,709236100,6555.299805
27/07/2015,6579.799805,6589.5,6495.700195,6505.100098,678322600,6505.100098
24/07/2015,6655,6684.799805,6574,6579.799805,644793200,6579.799805
23/07/2015,6667.299805,6711.5,6644.899902,6655,632287000,6655
22/07/2015,6769.100098,6769.100098,6653.399902,6667.299805,693476700,6667.299805
21/07/2015,6788.700195,6800.100098,6758.799805,6769.100098,556304800,6769.100098
20/07/2015,6775.100098,6813.399902,6772.100098,6788.700195,419532500,6788.700195
17/07/2015,6796.5,6799.799805,6764.799805,6775.100098,584213200,6775.100098
16/07/2015,6753.799805,6805.100098,6752.100098,6796.5,587458400,6796.5
15/07/2015,6753.799805,6775.899902,6728.5,6753.799805,549549300,6753.799805
14/07/2015,6738,6753.799805,6710.600098,6753.799805,595318500,6753.799805
13/07/2015,6673.399902,6743.100098,6673.399902,6738,643184300,6738
10/07/2015,6581.600098,6687.600098,6581.600098,6673.399902,699409100,6673.399902
09/07/2015,6490.700195,6594.200195,6490.700195,6581.600098,764973200,6581.600098
08/07/2015,6432.200195,6515.100098,6430.399902,6490.700195,913111000,6490.700195
07/07/2015,6535.700195,6543.799805,6432.200195,6432.200195,767758000,6432.200195
06/07/2015,6585.799805,6585.799805,6506.700195,6535.700195,610644900,6535.700195
03/07/2015,6630.5,6630.799805,6572.5,6585.799805,448998200,6585.799805
02/07/2015,6608.600098,6647.700195,6600.399902,6630.5,590421700,6630.5
01/07/2015,6521,6637.299805,6521,6608.600098,789588400,6608.600098
30/06/2015,6620.5,6620.799805,6521,6521,882243000,6521
29/06/2015,6753.700195,6753.700195,6598.600098,6620.5,762752000,6620.5
26/06/2015,6807.799805,6807.799805,6731.100098,6753.700195,597278600,6753.700195
25/06/2015,6844.799805,6869,6798.799805,6807.799805,655333800,6807.799805
24/06/2015,6834.899902,6873.399902,6834.299805,6844.799805,668257700,6844.799805
23/06/2015,6825.700195,6856.5,6825.700195,6834.899902,580137000,6834.899902
22/06/2015,6710.5,6825.700195,6710.5,6825.700195,749484400,6825.700195
19/06/2015,6707.899902,6759.299805,6691.799805,6710.5,1273130400,6710.5
18/06/2015,6680.600098,6707.899902,6625.200195,6707.899902,773442100,6707.899902
17/06/2015,6710.100098,6731.5,6666,6680.600098,685273800,6680.600098
16/06/2015,6710.5,6723.5,6656.899902,6710.100098,718299200,6710.100098
15/06/2015,6784.899902,6784.899902,6708.5,6710.5,557004700,6710.5
12/06/2015,6846.700195,6846.700195,6760.100098,6784.899902,592427400,6784.899902
11/06/2015,6830.299805,6870.200195,6807.299805,6846.700195,678574100,6846.700195
10/06/2015,6753.799805,6843.600098,6734.200195,6830.299805,818584900,6830.299805
09/06/2015,6790,6803.799805,6736.899902,6753.799805,682109200,6753.799805
08/06/2015,6804.600098,6827.200195,6781.700195,6790,539187300,6790
05/06/2015,6859.200195,6859.200195,6785.200195,6804.600098,754508500,6804.600098
04/06/2015,6950.5,6950.5,6839,6859.200195,783604900,6859.200195
03/06/2015,6928.299805,6985.700195,6901.799805,6950.5,701168000,6950.5
02/06/2015,6953.600098,6972.299805,6872.100098,6928.299805,864607700,6928.299805
01/06/2015,6984.399902,7037.600098,6942.700195,6953.600098,694968900,6953.600098
